currency,date,rate,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
GTQ,20260101,7.66528,GTQ~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,f61942b2596c0e33c872b40ab1b12596858b2a97c89e05b46c2c15d1343e9a9a
CRC,20260101,497.94419,CRC~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,eb8d3d0fe47c7b446d6a893a552aa965aa9a07955a80149c155d699c8d3127a5
UYU,20260101,38.43915,UYU~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,6cfd0bd8e9370b0117a0d751a48ca2b04b5117947d915e9b70cff71ec29ca0c1
HNL,20260101,26.54630,HNL~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,3f5464bb36d6cf6839a51968b036180226524cdc3d40084e56276226bd03cbd1
DOP,20260101,63.50633,DOP~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,cfa784cc023f325db8bc4e78b2ae39bbc7c12a6c9c4978ea7c34f48a92cd0bd6
ARS,20260101,1448.95238,ARS~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,5a07c84ba7c7e9040bffc88a737c6ec713a947d9869a254a312d368ce6178d03
TTD,20260101,6.78135,TTD~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,9d828c4b4c0eaf762bc377ecf69225c5ccc1cf1030dd5f21835f3a6a82fa45cc
EUR,20260101,1.17382,EUR~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,4f0b293e85c7d7c47a0639fd408dd3b1983effb8d147c9b4b89ce44d88c18a7e
NIO,20260101,36.62430,NIO~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,c7afa22fcc9b96d113ccebb25e8d03e09254aac91979b7122c7982148383ea7a
MXN,20260101,17.67681,MXN~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,178993684515772c3da0a572b0a6e50f7d913181c25a56c4bea10c745fd71a53
PEN,20260101,3.36252,PEN~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,b88b6ec9df7a85df1d9092a134d28f70edfa2ad5a1b3b47eefd50c7002a6f747
JMD,20260101,158.44582,JMD~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,34c3c771cdc082678434041c40411517a994132a5e18741392382881d1f0633c
HNL,20260301,26.74886,HNL~20260301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,84825b57cdc8dd3f16b2e88eb9c6a2be791edd904e4b09ccc947c45652735116
EUR,20250501,0.88668,EUR~20250501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,8b69599dd5d2dfddab83e35fd1dc4cacfc974ab5be2396ce567ff8d143ec0086
GTQ,20260101,7.70000,GTQ~20260101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,5fb7469e2eb96b232ceee44a15029186a70a59db49c3b7c5973523556e68d0e1
USD,20240701,1.00000,USD~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,5f84900f62a8c16a7e28f15f3a431645a45abfc08bfc4082e40e36d4740fd8cb
ARS,20230801,232.79361,ARS~20230801,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,f5fe9baa4e404b7a5efbc3cdea62ffb4fab9770259500619a4868958a1e233c9
JMD,20230601,155.36779,JMD~20230601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,4961d2b794e0e6815ac5fe39de1210e9763a96d24aa65a99306332d026daa4eb
UYU,20230601,38.19986,UYU~20230601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,a6b95c9e2b840e049483ecaa79de898c8e5509d32997017b8cbeb68204799fa1
MXN,20231201,17.20988,MXN~20231201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,4c868b58c2567a9d6d825f90299d5ba719083f038fb0acc6ed6814f4d64dc051
NIO,20251201,36.62430,NIO~20251201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,d28692116c75fb76bdb04fa4e575e9c3fb27d5b215dbf75221b4cb40f7fda1bd
GTQ,20240701,7.85000,GTQ~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0faa10486b98c3ecb179a5c4fa543466408357835a76fe5a23e1fb10f12a709d
GTQ,20250501,7.70000,GTQ~20250501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,3d4c47b88ded96de1c4166e802d23048410cd39bcedfa19f65b3261fb34f1ef4
MXN,20241001,18.25000,MXN~20241001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,eaa54112bd11db4d43f50e657171b2eac6aadec4b0ab53a93a8d5c5abe08336d
MXN,20230201,18.62219,MXN~20230201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,799dbc9919c8b2264cb81ae97423f067a091582af925712c6b510b010bb1f79e
NIO,20230901,36.51814,NIO~20230901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,6c79cb20b0baa53adf568a98aca83e8f3edabed0748ceff59bc12946d48f4188
CRC,20241001,560.00000,CRC~20241001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,6e74181ea1cec68aab27abd71697360678da792aa9148890a41cf5cc9eef8eae
TTD,20250601,6.77859,TTD~20250601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,cd9bfbefd6e9dac0af6adebe85a9d7ae703cc56f9cd432e3c01cf9ab84c93748
JMD,20241201,162.00000,JMD~20241201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,e6da8de22a553eae581b2a61ea3fe7d310f0a7b0f9897dfc21b3739aac767209
NIO,20240501,36.62430,NIO~20240501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,09c9d7452033bd4433039f9f5bb3166c734cd5f96631efe5ae2da215dbb743e1
DOP,20230101,56.70835,DOP~20230101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,2106e6683abd3b0eb2d1baa25ea22aca1e25f2b8a8b2faab8705302ead7a712d
HNL,20250701,26.51589,HNL~20250701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,02971805566df484eeed7cca7114dafe090f1ee0b375ef1cad3d09a08fe7ec39
PEN,20241201,3.73874,PEN~20241201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,f8cbb3be1b81786820d39cf6f72db9fb76588cc8681233440d547132c9d59409
MXN,20240301,16.82129,MXN~20240301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,e6fd01570500760559e18d7f980b0d9510917ac4d5c4cbbf3a6235adad609b34
PEN,20230101,3.83137,PEN~20230101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0efe8fcc1ecc2ebe5203282c1cee47992710247281bbfbefdb45b1b84f58c9be
NIO,20241001,36.62430,NIO~20241001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,b2ce0514498e2268b3e462f1231007e5d99a0cea64b5d596d5abbd8e60c4a8c3
HNL,20241201,24.85000,HNL~20241201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,e6e768f16d9399581fdfdabb5396b6a797cdcd934f92885d92b4192f8c5a702e
PEN,20260601,3.61000,PEN~20260601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,e6c5f173bd835068392ab777a6def7f2825e9e04d626c97ee81a13e225896aa3
MXN,20250701,19.85000,MXN~20250701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,693f9c06a4d9cf9c0160d0d9207e045820489652a25dd0ff1ddc04e29ebaa75c
EUR,20261101,0.84388,EUR~20261101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,974d5b1a1ca0e0d78beb34bd0de2ea0401b74792837ba4f74eb9e7be6cff1711
CRC,20250401,534.30000,CRC~20250401,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,9310404ac66b299f250fae93cef7d7bbcb6b040ac4f241aafe5c7eaa4aabf6dc
CRC,20240701,560.00000,CRC~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,604a2eacf1980642f8ba88836bd9ad86cd69af75951c475e7c935888b6028db6
HNL,20240201,24.78648,HNL~20240201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,a2748fa89a76a783c32732c66ba90b34cbcc5823cf1b8ac4bbd769cbe8de67ec
PEN,20241101,3.75000,PEN~20241101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,7200e58de80662d76e649a6d4a64100d213fdd54ac8df8922c30da12ccff26d4
ARS,20240301,650.00000,ARS~20240301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,c11fa089a95b47539fbf18e6de4869749c6b3a7ab8dccd3e329905420defff49
DOP,20230501,54.68978,DOP~20230501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,9ae6b97c50b4c33250921d8bba28bc371776b3864f5ba401b4c5d3c5a6a0ce18
EUR,20251001,1.00000,EUR~20251001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,53d6d77323c7d2d0c79ca3ec93f101e85d8092dc2dbd2900a1636ea8ebf504f8
PEN,20250201,3.70600,PEN~20250201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,9ac7e5b8610e059cd822e5bd38a5ee1a5fb058742a92e1bf937dcc8ed52dfe12
MXN,20240501,16.79711,MXN~20240501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,01e7405219ecb3bfba75b743c4682d83ebdc580d9a367d23a62084fba45643ad
