currency,date,rate,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
PEN,20250601,3.61207,PEN~20250601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,bc7ed7a72d43f1df0f73878f836598a5329e967847829a68524f9946357d58b4
GTQ,20250201,7.70000,GTQ~20250201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,c0e08b469aa9e140d1778f7bb7fc7b94524f2d09e2fc47824ed415d09525db1c
MXN,20260301,18.77000,MXN~20260301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,2d51bc8953a28a02ff3d0c002efbeff333a3b6eacc1f8a6e5150e3b34a4f6c83
JMD,20250701,159.00000,JMD~20250701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,794970b66d2e04575270e3ea6854f5e69b032ff27f9189bef24a0793bc693b81
DOP,20240901,57.81470,DOP~20240901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,03920f02d858b730ea34b47e04e87deac48c5baa7f25d34de9f66d523dbdbb88
MXN,20240701,18.25000,MXN~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,4a79309b4111fa0efef17b6a8b89337cdfaa7c026da2b1beb6d5badac5816ca8
DOP,20250901,63.00000,DOP~20250901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,252d413e836e4de6a01f4a110bf2b9447e81e98e2c5dc8296cc83fd10f420742
JMD,20240601,160.00000,JMD~20240601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,a0d31efc727e65160484f5ed0069953dc7a7c9be062957b833ada62adc5f7c95
DOP,20250601,59.56734,DOP~20250601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,9b2c1d9fd16ee2faa721db2929609fc1b8b06298ae868c8101f03fa54e047fa6
DOP,20230401,54.90519,DOP~20230401,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,dd36f9546e577a616d4d321697b269752345d183588312dfc7400cffb262bbff
MXN,20240301,18.25000,MXN~20240301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,512c00231c2295ec9806cd32b0e2e769873e5cf02af2fa0fb000b38dcfa6184a
CRC,20240201,519.45862,CRC~20240201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,b5adc1d50b6e0b3dc36117c35440de8beff3c568180d9564b583f70b7695486f
ARS,20240201,826.59892,ARS~20240201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,3c82473a432e5b4acb598672dc48379eadf426472fb9d9b49bfc5569dcf9a716
EUR,20240301,1.00000,EUR~20240301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,deaf1426fd5ca1c1995e5887a6804ce441275d6b5fb1ae931083861656cf41d2
EUR,20250901,1.00000,EUR~20250901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,891b82c11fcc8afd7a9f2b19dfd44d0f20210665e7c490c40bfac037f4046a7c
TTD,20240101,6.77878,TTD~20240101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,31396b8c47da8006891924093ab91324c40638f648418cc9c061bec0f17b0a52
TTD,20241101,6.89359,TTD~20241101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,39e4e7ba28d9d8f695c0860aea9a4f487e021154f4a09f5b57f7fac14629a598
UYU,20250301,42.27121,UYU~20250301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,97c4bf834f2ff07e629f108b18aef357c9afbd6756ba6726cae09858ca21b357
PEN,20240601,3.80000,PEN~20240601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,ec28131d96ec0fc6c5dcbc020d4c60b69f2da8ac011e3f4fa13d410d5ae90471
UYU,20240601,39.26837,UYU~20240601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,77695e58862d59f213ff55c0919198a65afbb7f7e63081946085c3ab076ec3f3
UYU,20230101,39.38595,UYU~20230101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,20353d6984625e1f75e9c32ea06a6e7da3a90a41f31235136006eb6c304db4d5
MXN,20240801,19.10346,MXN~20240801,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,520d2c7b7509885eb85bcedd244ce7992d34d7ef516fe2389edaaef08740f026
HNL,20250601,26.19391,HNL~20250601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,3f7daab103c34def1b59e2ee540329ce5e3ef855218963abb3fb5b5575bfae0a
UYU,20260901,41.48000,UYU~20260901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,d25a173565501a81c150c2f3e08435f7ebd1c5dba9ea15531ea0dc14fc0c7a87
MXN,20251101,19.35000,MXN~20251101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,42a61c14a480749e8e4c4f02c149147922bc67ac9953d5fffa7a422f2857e11c
DOP,20260701,63.50000,DOP~20260701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,20deb05be5d4d4d34ec1ec021b9daa370eec2f0c30af89e5da1eebc832026e5b
UYU,20240401,38.47905,UYU~20240401,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,cdb7484f3b22a8d939c25b4525e934c1a4030fc7d7063e28f28b80f51ac1a7d9
MXN,20260601,18.90000,MXN~20260601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0dfa31f4da6ee87443cca53815ed34df021a1b7c023c16430f44f66927f9c36b
HNL,20251001,26.96385,HNL~20251001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,18efff8ce9c72dcd2dac9f47b02121a56fb4c14d7d32017941235aac30c1c005
DOP,20250301,63.08744,DOP~20250301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,b3087bc66f8adf089f9a6806378655d3baf91e443548ccf84f1dba665781438f
EUR,20240201,0.92638,EUR~20240201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,44e2b8b7411e1b3dfe3edd7696beded6f55d66f41219f7a0394ed6b129139b97
HNL,20241101,24.92550,HNL~20241101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,abcd7d65dd9f5bf9971a7b87a7234f72528649b75db0019be652b167f6064a20
UYU,20240701,40.16159,UYU~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,eac47798397591108787da204eddd02c9d0102c508b4ba5424435c6c14d93f8b
CRC,20250501,509.32806,CRC~20250501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,86cd88ce7a806c9034d90a6e3040ea3df37c4d25e6f0b94f9163718853f18ae5
ARS,20260601,1619.58000,ARS~20260601,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,992e41537acebd1d20f981baa999ec3405f4449ea5c18ecb54bc94e8007cb5b6
GTQ,20260701,7.70000,GTQ~20260701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,66b7ac125300517ff779a90910a212d9dcbe8f366888470e03ebda2d602128bf
PEN,20230701,3.60677,PEN~20230701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0b153b0cbade0ac0c73fd44b6a6532b7be2eb5b0296777ccad60d5a30c3bbac8
HNL,20241201,25.41947,HNL~20241201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,d693548acdf11dd21765e1aad9f42d77b8a562e35f313d8944b17fd91138df60
EUR,20240201,1.00000,EUR~20240201,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,c7f307b9005bd97dfa06b76de3bb10ab6b8bff975597ab7848d49da4f349cbef
ARS,20250401,1073.77574,ARS~20250401,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,5cd0000d96440052bfb34d7938303f0f6948be4ff18e31d2473e2aced97a9c80
HNL,20240901,24.85000,HNL~20240901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0f270fd72351082ac6c431f133770157218fd3e8caa3e7098b1bb6c660f5b069
NIO,20250501,36.62430,NIO~20250501,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,99528fa749b4d641195b0f215bc712ca3ee05bfbf7916e4794adf2679487e9b1
NIO,20231101,36.57891,NIO~20231101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,49b1ffd1d4dce97548ca256597f532ee765252158d33ef3b7796f1be31ac245e
JMD,20250301,158.00000,JMD~20250301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,fcaa048b740872baa105a45fe2a558e0858dbce802a9d1411b54bb202496a0d6
EUR,20240401,0.93216,EUR~20240401,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,c491174a75fff3ca56c335214d5e2024565c5d901b0e2799d2791ec78d33b296
UYU,20240901,42.00000,UYU~20240901,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,451a1f9e21d75a47e09e14dd7fcfa59c292261e2b8df345e6633de8913b70853
TTD,20241101,6.78366,TTD~20241101,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,83f49da58ea63f76ffd78053c9f2cb532faf4c0609e1d86f8f09f34e1184e2d3
JMD,20240701,157.23075,JMD~20240701,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,0127d793b11cbc810164986c138c4087a8002a9c9ae05ab9109dff7bf8aa540e
GTQ,20260301,7.70000,GTQ~20260301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,9880f7e63a9ef539ca15c3d07a70d1484908f89be24df35ed1f2f9def5210537
NIO,20230301,36.33592,NIO~20230301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,8e8dc331ff28e04f312bb3958ac0e929aa6bc425d1a141a7e4be747cac274ddc
UYU,20241001,41.54496,UYU~20241001,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,329b7592ac328c4e2cdca1b8b0405641bd766d21517bc6ef058bf8b00357bcbe
