basekey,partname,transferpartname,partsite,suppliersite,transfersite,source_id,supplier_id,multipleqty,minimumqty,fixedleadtime,target,type,business_model,table,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
null,600442,600442,JAMAICA EXPORTS (PCJ)_J001,CFF_100009382,CFF_100009382,600442_J001,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~JAMAICA EXPORTS (PCJ)_J001~CFF_100009382~600442_J001~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,5e2914230dced2df5828bf004b376da431e4dd038e52d0c1034593bf636e237c
null,AA004005,AA004005,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,AA004005_66328,EMBOTELLADORA_LA_MARIPOSA_66328,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA004005~EMBOTELLADORA_LA_MARIPOSA_66328~EMBOTELLADORA_LA_MARIPOSA_66328~AA004005_66328~EMBOTELLADORA_LA_MARIPOSA_66328~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0b52f3ab11d21d28ef2234f03fa747a2b4c8b4ac545e492e2acf7f3fc8647532
null,437120,437120,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437120_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437120~PERU_RP04~Givaudan_100015087~437120_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,cb7fb0c143d5f8432af765640be0175e060b22a5bfa390db8ea951f71efd3b28
null,600442,600442,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,600442_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~CANADÁ_NATIONALDRY_100010426~CFF_100009382~600442_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,4e52315e8e75a8928eda886d46aa913595a608d36641d57920ec91048b767f24
null,AA001061,AA001061,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,AA001061_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA001061~EMBOTELLADORA_LA_NACIONAL_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~AA001061_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0ff15027ba69307b835998e301c0ba5d6e1b92654de3eef9e081c9e1a2e4237e
null,436528,436528,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,436528_100011087,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~BROOKLYN BM_100011087~IFF_100010034~436528_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,5dc338b1a6fc5075158d963d428f3653d0508b224224e340d4097e6434d73d60
null,436579,436579,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436579_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436579~PERU_RP04~Givaudan_100015087~436579_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,968a29488bb19e7e196f1580eb4b052e2030edda60db6293876a56b78ca8f620
null,437102,437102,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437102_100011123,148098,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,437102~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437102_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,bd851785cd350a151d2aee2228362d3d388fd8ceee473d0a306e0b3ce58b8a27
null,44004727,44004727,IDEALSA_100011805,Great view_209134,Great view_209134,44004727_100011805,209134,600,2250,90,0.0,Transfer,,Scen2,44004727~IDEALSA_100011805~Great view_209134~44004727_100011805~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2025033dbf2abef54ddcbadad40fc3797ddeff6231a10a8b4f1c07b7570cb365
null,600442,600442,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,600442_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~BROOKLYN BM_100011087~CFF_100009382~600442_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,e27ca833301885c026b3e4a80edbe814cef30a3391089ed121b237d5f2930f8f
null,AA001014,AA001014,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,AA001014_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA001014~EMBOTELLADORA_LA_NACIONAL_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~AA001014_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,d1edb846a21c7534ff4e9864b3a7dd7dce7bc68d081927a8b63ac9f29b36641d
null,435415,435415,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,435415_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435415~BROOKLYN BM_100011087~IFF_100010034~435415_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2370b4345a97d65fd62d524cd55bec2c168a7875d25dce4edab5c8ee32d9d489
null,435453,435453,REFRESCO_100011123,IFF_100010034,IFF_100010034,435453_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435453~REFRESCO_100011123~IFF_100010034~435453_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,b334ec8a5b39e2ca25d78023eb975d7f5838e2e381d1f9eaedde272852234831
null,436106,436106,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436106_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436106~PERU_RP04~Givaudan_100015087~436106_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f18db26dfbc113b196e9663571f77e8eccbacc0a40a0ec0e1f487aa1004a9ff4
null,436528,436528,DAMM GLOBAL_100008711,IFF_100010034,IFF_100010034,436528_100008711,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~DAMM GLOBAL_100008711~IFF_100010034~436528_100008711~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,47e3521fa6a521b1a15c11b900cebc2a8a48b7e018406bd8b4ee6f1174fdad48
null,436578,436578,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436578_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436578~PERU_RP04~Givaudan_100015087~436578_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,66f4ddf0c4bfc5e7086777843c81afe6bfda6f3e62278b47e708d201b1b40104
null,437069,437069,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437069_100011123,148098,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,437069~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437069_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2672c63a7ec08826809a017ca6a373e7c3d779c043e22399a68382473a65cd9b
null,437101,437101,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437101_100011123,148098,25,25,0,1.0,Transfer,CONCENTRATE,Scen2,437101~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437101_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,528d7c6cfc0049d3d0f08773357f9220b610f4359ac8a93b9c2ae59c359570df
null,437122,437122,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437122_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437122~PERU_RP04~Givaudan_100015087~437122_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,620c27531eb963b0098c704f733f1e7229d72468d575c97183df9bc3011c94f7
null,44004726,44004726,LIVSMART_SP00,Great view_209134,Great view_209134,44004726_SP00,209134,600,2250,90,0.0,Transfer,,Scen2,44004726~LIVSMART_SP00~Great view_209134~44004726_SP00~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,038224f88bf50cb5f952e75058967fef00bb34bef94501e5dba02d1702ecc451
null,600399,600399,BROOKLYN BM_100011087,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600399_100011087,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600399~BROOKLYN BM_100011087~Jamaica Exports (PCJ)_400000096~600399_100011087~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,32503b48fbe948b15d3168b35902f92e44d43b9b8986c91c85d09edc9ae5daf3
null,600403,600403,REFRESCO_100011123,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600403_100011123,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600403~REFRESCO_100011123~Jamaica Exports (PCJ)_400000096~600403_100011123~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,6ab2112b7dfe352036c74597ff3be3d52c2272e434ee8350c1c5b87cacca82d4
null,600472,600472,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,600472_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600472~BROOKLYN BM_100011087~IFF_100010034~600472_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,3ea989023677bc4f8a8c9d7f499407c27b1cf3a99009cc604a775c4ec7c1fe9e
null,AA001005,AA001005,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,AA001005_66328,EMBOTELLADORA_LA_MARIPOSA_66328,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA001005~EMBOTELLADORA_LA_MARIPOSA_66328~EMBOTELLADORA_LA_MARIPOSA_66328~AA001005_66328~EMBOTELLADORA_LA_MARIPOSA_66328~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0a02ab78204a6bbd9dc1ff199cc3f1c0f970ab1300b3824a2ae92cb4462c7786
null,435022,435022,DISTRIBUIDORA_EUROPEA_DE01,FISA_100009700,FISA_100009700,435022_DE01,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435022~DISTRIBUIDORA_EUROPEA_DE01~FISA_100009700~435022_DE01~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,25ccc5b08c2dcdf7864333d8c3c6329abf729ba0a56c7a70d6151e71fcb55fd5
null,435023,435023,DISTRIBUIDORA_EUROPEA_DE01,FISA_100009700,FISA_100009700,435023_DE01,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435023~DISTRIBUIDORA_EUROPEA_DE01~FISA_100009700~435023_DE01~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ab1195853d9b3b26db86698fa075c29a7f0bcfe9d2db9017a3cd7ea302b6d721
null,427336,427336,TESALIA_400000105,FISA_100009700,FISA_100009700,427336_400000105,100009700,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,427336~TESALIA_400000105~FISA_100009700~427336_400000105~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,06531d9c6ef5ec81457f2dc53c7f3a64f7c41f71f1f068710a571ed559b5afa0
null,435452,435452,REFRESCO_100011123,IFF_100010034,IFF_100010034,435452_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435452~REFRESCO_100011123~IFF_100010034~435452_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,892a4b8a08b7012465a2bf8b74af15d2413717808047edd15b2a8827e7c3f7e2
null,435460,435460,REFRESCO_100011123,IFF_100010034,IFF_100010034,435460_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435460~REFRESCO_100011123~IFF_100010034~435460_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,a3d8bbbf6d7b9de044d56c16a62a85ff729c09f5a2cf283c0e587b0eeb4f0505
null,436105,436105,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436105_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436105~PERU_RP04~Givaudan_100015087~436105_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,939c0770839b4c5daeeb700a07682e36bbc1ff822f589891bc1ed799198ddd36
null,430803,430803,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,430803_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,430803~BROOKLYN BM_100011087~FISA_100009700~430803_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,d70bf2e43da5880de0403f4154a088cfb33b3fc07003b30442f4bab7f7089926
null,435020,435020,REFRESCO_100011123,FISA_100009700,FISA_100009700,435020_100011123,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435020~REFRESCO_100011123~FISA_100009700~435020_100011123~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,d2cf672a5a95cb376ac8d3089cbd53ca41f0c0102dad9aba6789d3ec15687460
null,436528,436528,JAMAICA EXPORTS (PCJ)_J001,IFF_100010034,IFF_100010034,436528_J001,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~JAMAICA EXPORTS (PCJ)_J001~IFF_100010034~436528_J001~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,517057cc67985e12e5c2e468af9623820bebaaa6d09115df2ede1cb520513765
null,436577,436577,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436577_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436577~PERU_RP04~Givaudan_100015087~436577_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,c00945bcfc8959c9c9c856c9fa307335e3673f395c604b32cc8a165364fbabc1
null,431488,431488,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431488_100011805,100015087,25,25,45,0.0,Transfer,,Scen2,431488~IDEALSA_100011805~Givaudan_100015087~431488_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,a6bead714dd8e3a2c7e9a4d4fb0d2c04137cbade7a04b3b43aa8bbfb98e6a710
null,437068,437068,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437068_100011123,148098,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,437068~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437068_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,88a10bb8ae62255169e0fcff2d3adf189fd3a29ce2c8a615b8b7cb60d6c81013
null,437098,437098,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437098_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437098~PERU_RP04~Givaudan_100015087~437098_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,8314fb9f03ff8b278c77911efb42aa3efb15b83b6c8e07a626656c54982cc287
null,437100,437100,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437100_100011123,148098,25,25,0,1.0,Transfer,CONCENTRATE,Scen2,437100~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437100_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f772be013e54adc92d2714337653960595b2971bcc68ccaa982039296daecb18
null,431490,431490,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431490_100011805,100015087,9.24,9.24,45,0.0,Transfer,,Scen2,431490~IDEALSA_100011805~Givaudan_100015087~431490_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,4592fab0d67b75b92dd35e302eec5a03fffd44ee1124afdc8f95aacc12443ec4
null,437121,437121,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437121_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437121~PERU_RP04~Givaudan_100015087~437121_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f20c221c337aa242b4e1dbb93cc00bb58a54b0680467822aea195f4a1e06a86b
null,437123,437123,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437123_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437123~PERU_RP04~Givaudan_100015087~437123_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,bd21b263dad23b4f1656a5fce1071b703596f434e93b2153b68f6c58c3771b3b
null,44004726,44004726,IDEALSA_100011805,Great view_209134,Great view_209134,44004726_100011805,209134,600,2250,90,0.0,Transfer,,Scen2,44004726~IDEALSA_100011805~Great view_209134~44004726_100011805~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,6d2293e26e3f7223725391522d92001aa7512dfa4bc2f415bbb8ca7a81e83f45
null,431492,431492,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431492_100011805,100015087,7.66,7.66,45,0.0,Transfer,,Scen2,431492~IDEALSA_100011805~Givaudan_100015087~431492_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,da33246995316be915e526491b526225248d1ecece4a09fafaa6ff3841a9a5c3
null,44004728,44004728,LIVSMART_SP00,Great view_209134,Great view_209134,44004728_SP00,209134,600,2250,90,0.0,Transfer,,Scen2,44004728~LIVSMART_SP00~Great view_209134~44004728_SP00~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f5d3b73f6e02115b294b44d27fd17c2235ed32b8c8f36e01d21d92c727ff8b26
null,600399,600399,CANADÁ_NATIONALDRY_100010426,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600399_100010426,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600399~CANADÁ_NATIONALDRY_100010426~Jamaica Exports (PCJ)_400000096~600399_100010426~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,a5d44b1ac7ee74d69ead74dad53462d2118e373aa039a83339987729d69cc304
null,600403,600403,CANADÁ_NATIONALDRY_100010426,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600403_100010426,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600403~CANADÁ_NATIONALDRY_100010426~Jamaica Exports (PCJ)_400000096~600403_100010426~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,b8b9cfa092d16b175c4f4adb1c807b24161273e662b10fa63061c07f45c382e4
null,435022,435022,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,435022_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435022~BROOKLYN BM_100011087~FISA_100009700~435022_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0d05f501010d5eb3abc83abc54e9c024cfc4602c2ccbe6f4ec9d7651fd87284a
null,436528,436528,CANADÁ_NATIONALDRY_100010426,IFF_100010034,IFF_100010034,436528_100010426,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~CANADÁ_NATIONALDRY_100010426~IFF_100010034~436528_100010426~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,595f07641d4e66c738a3fc37c8a53e75a8aec7aca52fe45294204c101c46ee17
