basekey,partname,transferpartname,partsite,suppliersite,transfersite,source_id,supplier_id,multipleqty,minimumqty,fixedleadtime,target,type,business_model,table,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
null,435021,435021,REFRESCO_100011123,FISA_100009700,FISA_100009700,435021_100011123,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435021~REFRESCO_100011123~FISA_100009700~435021_100011123~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0180f84a57b453cb154b6f6089ecd3b57727a844a9dd6a30dbc29ae6effbb251
null,430801,430801,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,430801_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,430801~BROOKLYN BM_100011087~FISA_100009700~430801_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ef661708a6d0752dde4af05742c6213524a8386fb7684d7ae6a1e0be544d99e0
null,421573,421573,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,421573_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421573~BROOKLYN BM_100011087~CFF_100009382~421573_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,419c1b81f17b1505d6a4097307aa109cda829c71fceb30269115471b4e6b21e2
null,426242,426242,REFRESCO_100011123,IFF_100010034,IFF_100010034,426242_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426242~REFRESCO_100011123~IFF_100010034~426242_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,90e791f34a064dac2595e3f523707488dd6413748812e7fbc17eb43d4cca5cc7
null,426242,426242,JAMAICA EXPORTS (PCJ)_J001,IFF_100010034,IFF_100010034,426242_J001,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426242~JAMAICA EXPORTS (PCJ)_J001~IFF_100010034~426242_J001~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,744872965dc3ea3c9d2d5da7793ab815ede024b4725694d0adc576d382ed73e6
null,435023,435023,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,435023_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435023~BROOKLYN BM_100011087~FISA_100009700~435023_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,4b566f2c30a771946b9ee16a5d11f811e3c1655b93c2fda7aab5eacf6437061f
null,420511,420511,LIVSMART_SP00,MAXXA_107875,MAXXA_107875,420511_SP00,107875,72000,72000,30,0.0,Transfer,CONCENTRATE,Scen2,420511~LIVSMART_SP00~MAXXA_107875~420511_SP00~107875~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,6401dce6264b88c8ac841069c83d0d040ef7ee9640c3fafb0b170df33002ca1a
null,426243,426243,JAMAICA EXPORTS (PCJ)_J001,IFF_100010034,IFF_100010034,426243_J001,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426243~JAMAICA EXPORTS (PCJ)_J001~IFF_100010034~426243_J001~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f5cd96e8e7014cf6f0bd025714434e67a67bc09d8199bbd21be4a9976d419bf2
null,421577,421577,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,421577_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421577~BROOKLYN BM_100011087~CFF_100009382~421577_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,b8ed0d761b84a9a882924a7a829b312649680877b294d0d10ab416fd791e234c
null,435419,435419,REFRESCO_100011123,IFF_100010034,IFF_100010034,435419_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435419~REFRESCO_100011123~IFF_100010034~435419_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,538a5bd63f8cba34a860e8541e0a9c5fe47ecb68e797a83b827fd5ecb431721f
null,421576,421576,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,421576_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421576~CANADÁ_NATIONALDRY_100010426~CFF_100009382~421576_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,39939d34c072f0280a1ebeeb015dd668de33fc0cbc6e1f54dd97134846f1fe48
null,426244,426244,REFRESCO_100011123,IFF_100010034,IFF_100010034,426244_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426244~REFRESCO_100011123~IFF_100010034~426244_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,58ccc43ec9324db4346a6da70449d0450e3adace40a6bde6ed0d053edb558669
null,426243,426243,REFRESCO_100011123,IFF_100010034,IFF_100010034,426243_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426243~REFRESCO_100011123~IFF_100010034~426243_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,123a5001386882f7a7a83ef322cc92787f380d6cc9722434f0e0c24b3794d66b
null,435461,435461,REFRESCO_100011123,IFF_100010034,IFF_100010034,435461_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435461~REFRESCO_100011123~IFF_100010034~435461_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,880d764d8fa8628fda7410c993c6c13be68f7de637accb89f71c6c57cb9e1f02
null,420011,420011,EMBOTELLADORA_LA_NACIONAL_NI00,Grapette_100010909,Grapette_100010909,420011_NI00,100010909,320,640,50,1.0,Transfer,CONCENTRATE,Scen2,420011~EMBOTELLADORA_LA_NACIONAL_NI00~Grapette_100010909~420011_NI00~100010909~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,07a378efc4c84e7b20abe20c3a536e134243eaadf97dad164ff8d0d031073836
null,421692,421692,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,421692_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421692~BROOKLYN BM_100011087~IFF_100010034~421692_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2d116b7806f0934bb033a52741521ef3bd73fec2d6c6be1a5933fc283a8c0e3f
null,421575,421575,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,421575_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421575~BROOKLYN BM_100011087~CFF_100009382~421575_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,4ccde6c077de6ed70f2d4fbabe8929c2dd5e17ead5f43fb50ea619e4b1ea556c
null,431488,431488,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431488_SP00,100015087,25,25,45,0.0,Transfer,,Scen2,431488~LIVSMART_SP00~Givaudan_100015087~431488_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,008770bc12ca18c348648389b5e0af81d36395450b71931a1ac931e3d01d40c7
null,421573,421573,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,421573_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421573~CANADÁ_NATIONALDRY_100010426~CFF_100009382~421573_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,d2241041f9e823b41eb91907031aeab90f7ece460ae58e11a45a7d2cf5e6afe1
null,430802,430802,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,430802_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,430802~BROOKLYN BM_100011087~FISA_100009700~430802_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,1eba9f8154b97dbcbae441c55c6609221edc3da58fba7a564b2d9e03ae7a7d6d
null,426242,426242,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,426242_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426242~BROOKLYN BM_100011087~IFF_100010034~426242_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,7ca1fe465ce4eb4df8fc3158793666d5a52b0f5eb172b097ad1f55ff0f568c09
null,436528,436528,REFRESCO_100011123,IFF_100010034,IFF_100010034,436528_100011123,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~REFRESCO_100011123~IFF_100010034~436528_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,963c59875b39476e0722970db3d6c3aa7781632fcdb8380dbfb3b559a20a18c1
null,420511,420511,IDEALSA_100011805,MAXXA_107875,MAXXA_107875,420511_100011805,107875,72000,72000,30,0.0,Transfer,CONCENTRATE,Scen2,420511~IDEALSA_100011805~MAXXA_107875~420511_100011805~107875~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ddea868c57c335b75516d1cc3c1fb518c10664e3ec255876934b4e818f581886
null,430804,430804,BROOKLYN BM_100011087,FISA_100009700,FISA_100009700,430804_100011087,100009700,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,430804~BROOKLYN BM_100011087~FISA_100009700~430804_100011087~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0dc558484c2ddb21f4210badd1f52a1ee2d13da77c496fa836164a44d66dbc0b
null,421691,421691,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,421691_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421691~BROOKLYN BM_100011087~IFF_100010034~421691_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,94d1e72e8086eb07c4b23173c318a925eb0932c439a228e40f4a7c16a01af6d3
null,436610,436610,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436610_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436610~PERU_RP04~Givaudan_100015087~436610_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,69909a927ac224a76c4c71f9cbe31c734bae5ad6f0838215019a0df3e9fc7468
null,421690,421690,REFRESCO_100011123,IFF_100010034,IFF_100010034,421690_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421690~REFRESCO_100011123~IFF_100010034~421690_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,1cd43bc09fc38446efd75d16693143a39d319a9b8041468a8087928f79269594
null,431487,431487,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431487_SP00,100015087,8.83,8.83,45,0.0,Transfer,,Scen2,431487~LIVSMART_SP00~Givaudan_100015087~431487_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,9d93a2f443a973723421daea78a7f9b9065c560597b31978b23c492f3ae111f4
null,431487,431487,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431487_100011805,100015087,8.83,8.83,45,0.0,Transfer,,Scen2,431487~IDEALSA_100011805~Givaudan_100015087~431487_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,7db9593c1165e8af00d35aff3b33c3309e60272fa89cfa3a1f71952e6376e6ed
null,437099,437099,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437099_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437099~PERU_RP04~Givaudan_100015087~437099_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,fff8ceb3b3e69d444de0118eb9d3bde6dca67e8abcea741869aab5463f6d1d3a
null,420011,420011,MARIPOSA_GP00,Grapette_100010909,Grapette_100010909,420011_GP00,100010909,320,640,50,1.0,Transfer,CONCENTRATE,Scen2,420011~MARIPOSA_GP00~Grapette_100010909~420011_GP00~100010909~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,08ad70ee953419ccfea61e5c809d2cd2415fad716a5d8aa2f850d90f6a284458
null,426241,426241,REFRESCO_100011123,IFF_100010034,IFF_100010034,426241_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426241~REFRESCO_100011123~IFF_100010034~426241_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,5005d76af6f45ea98f82fc8ff66db64636ceb93e8ad0146f515e4a7ccc0c2fc8
null,425220,425220,REFRESCO_100011123,IFF_100010034,IFF_100010034,425220_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,425220~REFRESCO_100011123~IFF_100010034~425220_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,beb42a2311414933182ae4287257e67dd24ac6938492f8ee00dee2a26706b935
null,431492,431492,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431492_SP00,100015087,7.66,7.66,45,0.0,Transfer,,Scen2,431492~LIVSMART_SP00~Givaudan_100015087~431492_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,776c800fdf9ab6edd6705ad69b7eaa9b6a5a939f6f0bb831b797beb62e3aa0d2
null,421574,421574,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,421574_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421574~CANADÁ_NATIONALDRY_100010426~CFF_100009382~421574_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,40c493136beeb7c1d5f751d7ddf64e4f0c8ca30f29fd390a2c0c470ecb43e5a9
null,431489,431489,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431489_SP00,100015087,25,25,45,0.0,Transfer,,Scen2,431489~LIVSMART_SP00~Givaudan_100015087~431489_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,8453b03d298c83a7fa62605e834637363a8c597281cd74083347e730ab7b5a67
null,431489,431489,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431489_100011805,100015087,25,25,45,0.0,Transfer,,Scen2,431489~IDEALSA_100011805~Givaudan_100015087~431489_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,bef1af1607017ffa7ca47259b6c93202daa94463e09c7496c188c21df801b6d4
null,437124,437124,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437124_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437124~PERU_RP04~Givaudan_100015087~437124_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,01594eafa65960055676bc6fcc474fb7d434b8cb5422a357df478394ce6bf621
null,421574,421574,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,421574_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421574~BROOKLYN BM_100011087~CFF_100009382~421574_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,50b12a9f751103a51ab0b4cdf3bd0346cb0b4ce9104800ebabfd1d3a9d22bb67
null,431490,431490,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431490_SP00,100015087,9.24,9.24,45,0.0,Transfer,,Scen2,431490~LIVSMART_SP00~Givaudan_100015087~431490_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,00481d375b5649b5ebb538e316071369519f79f98014818da71f59485fb2b2b6
null,426214,426214,TESALIA_400000105,FISA_100009700,FISA_100009700,426214_400000105,100009700,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,426214~TESALIA_400000105~FISA_100009700~426214_400000105~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,87caf65be1dfa85ae17c1d04437e72d66b5224431955a676e48fe3ce64b355fc
null,44004727,44004727,LIVSMART_SP00,Great view_209134,Great view_209134,44004727_SP00,209134,600,2250,90,0.0,Transfer,,Scen2,44004727~LIVSMART_SP00~Great view_209134~44004727_SP00~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,476febb42b389d07a0f73354541b0fb110cfca7a46f089e22c26a77fe038aba9
null,426213,426213,TESALIA_400000105,FISA_100009700,FISA_100009700,426213_400000105,100009700,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,426213~TESALIA_400000105~FISA_100009700~426213_400000105~100009700~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,142b37db9886e6653155bfbd2387fc6bc44974172928b7bf56d0a0a0b554342a
null,431491,431491,LIVSMART_SP00,Givaudan_100015087,Givaudan_100015087,431491_SP00,100015087,25,25,45,0.0,Transfer,,Scen2,431491~LIVSMART_SP00~Givaudan_100015087~431491_SP00~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,916981b6b945a5be543e116f742b4ccadcc46d6514d60f3f772bcc57a25a9761
null,431491,431491,IDEALSA_100011805,Givaudan_100015087,Givaudan_100015087,431491_100011805,100015087,25,25,45,0.0,Transfer,,Scen2,431491~IDEALSA_100011805~Givaudan_100015087~431491_100011805~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,72da92747981e4fa6dc05f0c5bf48307ace3bec7255aa4153ac19cb72921f735
null,600403,600403,BROOKLYN BM_100011087,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600403_100011087,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600403~BROOKLYN BM_100011087~Jamaica Exports (PCJ)_400000096~600403_100011087~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,687b352e63bada12b1c37523fabb70d5f8acb415bf536c90303041c1a5e067e5
null,420011,420011,LIVSMART_SP00,Grapette_100010909,Grapette_100010909,420011_SP00,100010909,320,640,60,1.0,Transfer,CONCENTRATE,Scen2,420011~LIVSMART_SP00~Grapette_100010909~420011_SP00~100010909~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,1ee6c973fa18c677ace75b7eb7fe58ace95706613cbee2f166bbcfb7505404e9
null,426243,426243,DAMM GLOBAL_100008711,IFF_100010034,IFF_100010034,426243_100008711,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,426243~DAMM GLOBAL_100008711~IFF_100010034~426243_100008711~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ed86101ccb80ddd46cf651197dc433a3c6a3979b5a9be52baec696a408ddcd7b
null,421690,421690,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,421690_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421690~BROOKLYN BM_100011087~IFF_100010034~421690_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,68bcb3bb4ee2b8787fc3d808baa53a48aa2733ff6fdf6f728bb785bf9f70b13f
null,435415,435415,REFRESCO_100011123,IFF_100010034,IFF_100010034,435415_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435415~REFRESCO_100011123~IFF_100010034~435415_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ec915f577fe3bd2aa0f6893469f19524c8da335bc22dd532622a18b5ebced11f
null,421575,421575,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,421575_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,421575~CANADÁ_NATIONALDRY_100010426~CFF_100009382~421575_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,ea0b80caa62c9acfa08bd5abaf69a1b8652941f4a101398a5d8dd3711914958c
null,AA004005,AA004005,MARES_2060885,MARES_2060885,MARES_2060885,AA004005_2060885,MARES_2060885,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA004005~MARES_2060885~MARES_2060885~AA004005_2060885~MARES_2060885~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,739825edc80058e83f3a3c2ca06eb02b5c5283db45885fee9183dfbd5946117b
